#Species (or morphospecies –> Gen sp) collected in 15 winter Oilseed rape sites (edge and middle of the crop -> Treatment) along a 50 m. - 15 minutes transect walk. Each site visited two times (Date). Owner: Ignasi Bartoemus <nacho.bartomeus@gmail.com>
Field	Treatment	Date	Collector	Order	Family	Subfamily	Gen	sp	Sex	Identification
site_14	edge	2013,06,02	O.R.Rubbmark	Coleoptera	Elateridae	NA	Corymbites	sp1	NA	Karol
site_14	edge	2013,06,02	O.R.Rubbmark	Coleoptera	Elateridae	NA	Athous	vittatus	NA	Karol
site_13	edge	2013,05,31	O.R.Rubbmark	Coleoptera	Elateridae	NA	Limonius	pilosus	NA	Karol
site_14	edge	2013,06,02	O.R.Rubbmark	Coleoptera	Elateridae	NA	Cantharis	pellucida	NA	Karol
site_14	edge	2013,06,02	O.R.Rubbmark	Coleoptera	Elateridae	NA	Cantharis	pellucida	NA	Karol
site_7	edge	2013,06,04	O.R.Rubbmark	Coleoptera	Elateridae	NA	Cantharis	pellucida	NA	Karol
site_6	edge	2013,06,04	O.R.Rubbmark	Coleoptera	Elateridae	NA	Cantharis	fusca	NA	Karol
site_3	edge	2013,05,27	O.R.Rubbmark	Coleoptera	Elateridae	NA	Cantharis	obscura	NA	Karol
site_6	edge	2013,06,04	O.R.Rubbmark	Coleoptera	Elateridae	NA	Cantharis	obscura	NA	Karol
site_9	edge	2013,05,31	O.R.Rubbmark	Coleoptera	Elateridae	NA	Cantharis	nigricans	NA	Karol
site_14	crop	2013,06,02	O.R.Rubbmark	Coleoptera	Elateridae	NA	Cantharis	nigricans	NA	Karol
site_11	edge	2013,05,28	O.R.Rubbmark	Coleoptera	Elateridae	NA	Cantharis	nigricans	NA	Karol
site_10	edge	2013,05,31	O.R.Rubbmark	Coleoptera	Elateridae	NA	Cantharis	nigricans	NA	Karol
site_8	crop	2013,06,04	O.R.Rubbmark	Coleoptera	Elateridae	NA	Cantharis	livida	NA	Karol
site_7	edge	2013,06,04	O.R.Rubbmark	Coleoptera	Elateridae	NA	Rhagonycha	limbata	NA	Karol
site_13	edge	2013,06,03	O.R.Rubbmark	Hymenoptera	Thenthredinindae	Selandiinae	Dolores	haematodes	NA	Karol
site_10	edge	2013,05,31	O.R.Rubbmark	Hymenoptera	Thenthredinindae	Selandiinae	Dolorus	nitens	NA	Karol
site_3	edge	2013,06,01	O.R.Rubbmark	Hymenoptera	Thenthredinindae	Thenthredininae	Pachyprotasis	rapae	NA	Karol
site_3	edge	2013,06,01	O.R.Rubbmark	Hymenoptera	Thenthredinindae	Thenthredininae	Pachyprotasis	rapae	NA	Karol
site_9	edge	2013,06,03	O.R.Rubbmark	Hymenoptera	Thenthredinindae	Thenthredininae	Pachyprotasis	rapae	NA	Karol
site_7	edge	2013,05,30	O.R.Rubbmark	Hymenoptera	Ichneumonidae	NA	Ichneumonidae	sp1	NA	Karol
site_3	edge	2013,06,01	O.R.Rubbmark	Hymenoptera	Anthophoridae	NA	Ceratina	sp1	NA	Karol
site_6	edge	2013,06,04	O.R.Rubbmark	Hymenoptera	Andrenidae	NA	Andrena	sp1	NA	Karol
site_6	crop	2013,06,04	O.R.Rubbmark	Hymenoptera	Andrenidae	NA	Andrena	sp1	NA	Karol
site_2	edge	2013,06,01	O.R.Rubbmark	Hymenoptera	Andrenidae	NA	Andrena	sp1	NA	Karol
site_12	crop	2013,05,31	O.R.Rubbmark	Hymenoptera	Andrenidae	NA	Andrena	sp1	NA	Karol
site_15	crop	2013,06,02	O.R.Rubbmark	Hymenoptera	Andrenidae	NA	Andrena	sp1	NA	Karol
site_2	edge	2013,05,27	O.R.Rubbmark	Hymenoptera	Andrenidae	NA	Andrena	sp1	NA	Karol
site_2	edge	2013,05,27	O.R.Rubbmark	Hymenoptera	Andrenidae	NA	Andrena	sp1	NA	Karol
site_15	crop	2013,06,02	O.R.Rubbmark	Hymenoptera	Andrenidae	NA	Andrena	sp2	NA	Karol
site_7	crop	2013,06,04	O.R.Rubbmark	Hymenoptera	Andrenidae	NA	Andrena	sp2	NA	Karol
site_2	crop	2013,06,01	O.R.Rubbmark	Hymenoptera	Andrenidae	NA	Andrena	sp3	NA	Karol
site_15	crop	2013,06,02	O.R.Rubbmark	Hymenoptera	Andrenidae	NA	Andrena	sp4	NA	Karol
site_8	edge	2013,06,04	O.R.Rubbmark	Hymenoptera	Andrenidae	NA	Andrena	sp5	NA	Karol
site_15	edge	2013,05,28	O.R.Rubbmark	Hymenoptera	Andrenidae	NA	Andrena	sp6	NA	Karol
site_7	crop	2013,05,30	O.R.Rubbmark	Hymenoptera	Andrenidae	NA	Andrena	sp6	NA	Karol
site_12	edge	2013,05,31	O.R.Rubbmark	Hymenoptera	Andrenidae	NA	Andrena	sp7	NA	Karol
site_7	edge	2013,06,04	O.R.Rubbmark	Hymenoptera	Andrenidae	NA	Andrena	sp6	NA	Karol
site_10	edge	2013,06,03	O.R.Rubbmark	Diptera	Syrphidae	NA	Sphaerophoria	scripta	female	Karol
site_10	edge	2013,06,03	O.R.Rubbmark	Diptera	Syrphidae	NA	Sphaerophoria	scripta	female	Karol
site_10	edge	2013,05,31	O.R.Rubbmark	Diptera	Syrphidae	NA	Sphaerophoria	scripta	female	Karol
site_13	edge	2013,06,03	O.R.Rubbmark	Diptera	Syrphidae	NA	Sphaerophoria	scripta	female	Karol
site_9	edge	2013,06,03	O.R.Rubbmark	Diptera	Syrphidae	NA	Sphaerophoria	scripta	female	Karol
site_5	edge	2013,05,30	O.R.Rubbmark	Diptera	Syrphidae	NA	Sphaerophoria	scripta	female	Karol
site_15	edge	2013,05,28	O.R.Rubbmark	Diptera	Syrphidae	NA	Sphaerophoria	scripta	female	Karol
site_1	edge	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	NA	Sphaerophoria	scripta	female	Karol
site_14	crop	2013,05,28	O.R.Rubbmark	Diptera	Syrphidae	NA	Sphaerophoria	scripta	female	Karol
site_14	crop	2013,05,28	O.R.Rubbmark	Diptera	Syrphidae	NA	Sphaerophoria	scripta	female	Karol
site_10	edge	2013,05,31	O.R.Rubbmark	Diptera	Syrphidae	NA	Sphaerophoria	scripta	male	Karol
site_12	edge	2013,05,31	O.R.Rubbmark	Diptera	Syrphidae	NA	Sphaerophoria	scripta	male	Karol
site_13	edge	2013,05,31	O.R.Rubbmark	Diptera	Syrphidae	NA	Sphaerophoria	scripta	male	Karol
site_10	edge	2013,05,31	O.R.Rubbmark	Diptera	Syrphidae	NA	Sphaerophoria	scripta	male	Karol
site_14	crop	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	NA	Sphaerophoria	scripta	male	Karol
site_11	edge	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	NA	Sphaerophoria	scripta	male	Karol
