study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,sampling_richness,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,sampling_abundance,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,sampling_visitation,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Dupont_redclover_Denmark_2008,Brushojgard_2008,Trifolium pratense,Rajah,organic,Denmark,56.4087552673392,10.1198346795792,569101,6252137,32,7,7,2008,15,51.71875,kg per hectare,48.59375,kg per hectare,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,transects,7,7.496,Chao1,only bees,transects,115,13,102,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1371/journal.pone.0025172,"Yoko L. Dupont, Vibeke Simonsen",yoko.dupont@bios.au.dk
Dupont_redclover_Denmark_2008,Braedstrup_2008,Trifolium pratense,Rajah,organic,Denmark,55.948581962524,9.64366586178405,540197,6200544,32,7,7,2008,3,117,kg per hectare,75,kg per hectare,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,transects,6,6,Chao1,only bees,transects,481,273,208,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1371/journal.pone.0025172,"Yoko L. Dupont, Vibeke Simonsen",yoko.dupont@bios.au.dk
Dupont_redclover_Denmark_2008,"Frijsendalsvej, Sall_2008",Trifolium pratense,Rajah,organic,Denmark,56.2789580192022,9.84569705896529,552363,6237449,32,7,7,2008,9.96,124,kg per hectare,120,kg per hectare,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,transects,7,7.996,Chao1,only bees,transects,282,3,279,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1371/journal.pone.0025172,"Yoko L. Dupont, Vibeke Simonsen",yoko.dupont@bios.au.dk
Dupont_redclover_Denmark_2008,Galten_2008,Trifolium pratense,Rajah,organic,Denmark,56.1329281164457,9.95959168389954,559641,6221289,32,7,7,2008,8,137.875,kg per hectare,126.125,kg per hectare,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,transects,8,8,Chao1,only bees,transects,1103,429,674,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1371/journal.pone.0025172,"Yoko L. Dupont, Vibeke Simonsen",yoko.dupont@bios.au.dk
Dupont_redclover_Denmark_2008,"Gjern, Tingvejen_2008",Trifolium pratense,Milvus,organic,Denmark,56.1970362991484,9.72949827937521,545265,6228249,32,7,7,2008,7,187.714286,kg per hectare,192.428571,kg per hectare,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,transects,6,6,Chao1,only bees,transects,256,2,254,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1371/journal.pone.0025172,"Yoko L. Dupont, Vibeke Simonsen",yoko.dupont@bios.au.dk
Dupont_redclover_Denmark_2008,Hesselballe_2008,Trifolium pratense,Rajah,organic,Denmark,56.2640220357239,10.2645455454261,578326,6236184,32,7,7,2008,9.5,195,kg per hectare,169,kg per hectare,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,transects,7,7,Chao1,only bees,transects,341,72,269,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1371/journal.pone.0025172,"Yoko L. Dupont, Vibeke Simonsen",yoko.dupont@bios.au.dk
Dupont_redclover_Denmark_2008,Odense_2008,Trifolium pratense,Milvus,organic,Denmark,55.4312569332887,10.4567423740814,592180,6143748,32,7,7,2008,10,328,kg per hectare,308,kg per hectare,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,transects,6,6,Chao1,only bees,transects,372,41,331,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1371/journal.pone.0025172,"Yoko L. Dupont, Vibeke Simonsen",yoko.dupont@bios.au.dk
Dupont_redclover_Denmark_2008,Randers NO Syd_2008,Trifolium pratense,Rajah,organic,Denmark,56.4999192580371,10.074774847579,566162,6262239,32,7,7,2008,13,290,kg per hectare,272,kg per hectare,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,transects,4,4,Chao1,only bees,transects,782,550,232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1371/journal.pone.0025172,"Yoko L. Dupont, Vibeke Simonsen",yoko.dupont@bios.au.dk
Dupont_redclover_Denmark_2008,Skejby_2008,Trifolium pratense,Rajah,organic,Denmark,56.2014058471345,10.1711366687495,572659,6229113,32,7,7,2008,10.8,476,kg per hectare,457,kg per hectare,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,transects,5,5,Chao1,only bees,transects,242,53,189,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1371/journal.pone.0025172,"Yoko L. Dupont, Vibeke Simonsen",yoko.dupont@bios.au.dk
Dupont_redclover_Denmark_2008,Vamdrup_2008,Trifolium pratense,Milvus,organic,Denmark,55.4163791450969,9.23785103432375,515057,6141153,32,7,7,2008,15.5,594,kg per hectare,599,kg per hectare,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,transects,6,6,Chao1,only bees,transects,742,501,241,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1371/journal.pone.0025172,"Yoko L. Dupont, Vibeke Simonsen",yoko.dupont@bios.au.dk
Dupont_redclover_Denmark_2008,"Vester Skerninge, Amarksvej_2008",Trifolium pratense,Rajah,organic,Denmark,55.051539874864,10.4660608133478,593658,6101509,32,7,7,2008,7.5,692,kg per hectare,657,kg per hectare,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,transects,5,5,Chao1,only bees,transects,741,231,510,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1371/journal.pone.0025172,"Yoko L. Dupont, Vibeke Simonsen",yoko.dupont@bios.au.dk
