study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
David_Crowder_Brassica_napus_USA_several_years,clar1,Brassica napus,Dekalb.genuity,conventional,USA,46.81185,-117.2215833,NA,NA,NA,6,6,2013,1.214058,532.3307631248,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,Only bees,3,0,3,0,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_several_years,clar2,Brassica napus,Dekalb.genuity,conventional,USA,46.81383333,-117.1973667,NA,NA,NA,7,7,2013,6.879662,532.3307631248,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,Only bees,1,0,0,1,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_several_years,conr1,Brassica napus,DKL.30-42,conventional,USA,46.80415,-117.3888167,NA,NA,NA,7,7,2013,110.479278,330.4121978016,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,18.25,18.25,Only bees,10,1,0,9,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_several_years,druf1,Brassica napus,Oasis.beyondtolerant,conventional,USA,46.5284,-117.1001167,NA,NA,NA,7,7,2013,56.65604,146.8498656896,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,Only bees,1,0,0,1,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_several_years,hinn1,Brassica napus,HyCLASS.955,conventional,USA,46.8398,-117.3381667,NA,NA,NA,6,6,2013,46.134204,399.2480723436,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,Only bees,4,0,0,4,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_several_years,hinn2,Brassica napus,HyCLASS.955,conventional,USA,46.82255,-117.27005,NA,NA,NA,7,7,2013,60.7029,342.527311720992,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.333,2.333,Only bees,3,0,0,3,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_several_years,jens1,Brassica napus,DKL.30-42,conventional,USA,46.61418333,-117.0011667,NA,NA,NA,7,7,2013,15.378068,312.6356351611648,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,Only bees,1,0,0,1,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_several_years,jens2,Brassica napus,DKL.30-42,conventional,USA,46.62691667,-116.96495,NA,NA,NA,6,6,2013,19.1416478,343.0248315398927,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,Only bees,1,1,0,0,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_several_years,odbe1,Brassica napus,DKL.30-42,conventional,USA,46.62156667,-116.87755,NA,NA,NA,7,7,2013,87.412176,396.49463736192,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,Only bees,2,0,0,2,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_several_years,pcfs2,Brassica napus,mixed,conventional,USA,46.75708333,-117.1911,NA,NA,NA,6,6,2013,1.0926522,370.428786202016,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5.714,5.714,Only bees,7,3,0,4,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_several_years,stub3,Brassica napus,HyCLASS.955,conventional,USA,46.80275,-117.7483667,NA,NA,NA,6,6,2013,121.4058,403.83713064639994,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,Only bees,3,0,0,3,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
David_Crowder_Brassica_napus_USA_several_years,stub7,Brassica napus,HyCLASS.955,conventional,USA,46.82483333,-117.8013833,NA,NA,NA,6,6,2013,34.39831,247.80914835119998,kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.5,2.5,Only bees,2,0,0,2,0,0,0,0,0,0,0,50,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In submission,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),dcrowder@wsu.edu
