code,file_field,file_insect,Credit,author_folder
1_RiccardoBommarco_RedClover_2008,field_level_data_1_RiccardoBommarco_RedClover_2008.csv,insect_sampling_1_RiccardoBommarco_RedClover_2008.csv,"Riccardo Bommarco, Ola Lundin, Henrik G. Smith, and Maj Rundlof",Riccardo Bommarco
14_MikeGarratt_FieldBean2005,field_level_data_14_MikeGarratt_FieldBean2005.csv,insect_sampling_14_MikeGarratt_FieldBean2005.csv,Michael Garratt,Michael Garratt
2_3_RiccardoBommarco_RedClover_2009,field_level_data_2_3_RiccardoBommarco_RedClover_2009.csv,insect_sampling_2_3_RiccardoBommarco_RedClover_2009.csv,"Riccardo Bommarco, Ola Lundin, Henrik G. Smith, and Maj Rundlof",Riccardo Bommarco
20_DavidKleijn_alliumporrum2012,field_level_data_20_DavidKleijn_alliumporrum2012.csv,insect_sampling_20_DavidKleijn_alliumporrum2012.csv,David Kleijn,David Kleijn
38_PisantyMandelik_Sunflower2010,field_level_data_38_PisantyMandelik_Sunflower2010.csv,insect_sampling_38_PisantyMandelik_Sunflower2010.csv,"Gideon Pisanty, Alexandra-Maria Klein, Yael Mandelik",Yael Mandelik
39_PisantyMandelikWatermelon_2009,field_level_data_39_PisantyMandelikWatermelon_2009.csv,insect_sampling_39_PisantyMandelikWatermelon_2009.csv,"Gideon Pisanty, Yael Mandelik",Yael Mandelik
4_5_RiccardoBommarco_RedClover_2010,field_level_data_4_5_RiccardoBommarco_RedClover_2010.csv,insect_sampling_4_5_RiccardoBommarco_RedClover_2010.csv,"Riccardo Bommarco, Ola Lundin, Henrik G. Smith, and Maj Rundlof",Riccardo Bommarco
40_PisantyMandelikWatermelon_2010,field_level_data_40_PisantyMandelikWatermelon_2010.csv,insect_sampling_40_PisantyMandelikWatermelon_2010.csv,"Gideon Pisanty, Yael Mandelik",Yael Mandelik
42_MiaParkApple_2009,field_level_data_42_MiaParkApple_2009.csv,insect_sampling_42_MiaParkApple_2009.csv,Mia Park,Mia Park
43_MiaParkApple_2010,field_level_data_43_MiaParkApple_2010.csv,insect_sampling_43_MiaParkApple_2010.csv,Mia Park,Mia Park
44_MiaParkApple_2011,field_level_data_44_MiaParkApple_2011.csv,insect_sampling_44_MiaParkApple_2011.csv,Mia Park,Mia Park
45_RachaelWinfree_Apple_2004,field_level_data_45_RachaelWinfree_Apple_2004.csv,insect_sampling_45_RachaelWinfree_Apple_2004.csv,Rachael Winfree,Rachael Winfree
46_RachaelWinfreeTomato_2004,field_level_data_46_RachaelWinfreeTomato_2004.csv,insect_sampling_46_RachaelWinfreeTomato_2004.csv,Rachael Winfree et al.,Rachael Winfree
