code,file_field,file_insect,Credit,author_folder,Location,Raw_data_Folder,
1_RiccardoBommarco_RedClover_2008,field_level_data_1_RiccardoBommarco_RedClover_2008.csv,insect_sampling_1_RiccardoBommarco_RedClover_2008.csv,"Riccardo Bommarco, Ola Lundin, Henrik G. Smith, and Maj Rundlof",Riccardo Bommarco,KLEIJN 2015 DATABASE,1_5_RiccardoBommarco_RedClover,
2_3_RiccardoBommarco_RedClover_2009,field_level_data_2_3_RiccardoBommarco_RedClover_2009.csv,insect_sampling_2_3_RiccardoBommarco_RedClover_2009.csv,"Riccardo Bommarco, Ola Lundin, Henrik G. Smith, and Maj Rundlof",Riccardo Bommarco,KLEIJN 2015 DATABASE,1_5_RiccardoBommarco_RedClover,
20_DavidKleijn_alliumporrum2012,field_level_data_20_DavidKleijn_alliumporrum2012.csv,insect_sampling_20_DavidKleijn_alliumporrum2012.csv,David Kleijn,David Kleijn,KLEIJN 2015 DATABASE,20_DavidKleijn_alliumporrum2012,
38_PisantyMandelik_Sunflower2010,field_level_data_38_PisantyMandelik_Sunflower2010.csv,insect_sampling_38_PisantyMandelik_Sunflower2010.csv,"Gideon Pisanty, Alexandra-Maria Klein, Yael Mandelik",Yael Mandelik,KLEIJN 2015 DATABASE,38_PisantyMandelik_Sunflower2010,
39_PisantyMandelikWatermelon_2009,field_level_data_39_PisantyMandelikWatermelon_2009.csv,insect_sampling_39_PisantyMandelikWatermelon_2009.csv,"Gideon Pisanty, Yael Mandelik",Yael Mandelik,KLEIJN 2015 DATABASE,39_40_PisantyMandelikWatermelon_2009_2010,
4_5_RiccardoBommarco_RedClover_2010,field_level_data_4_5_RiccardoBommarco_RedClover_2010.csv,insect_sampling_4_5_RiccardoBommarco_RedClover_2010.csv,"Riccardo Bommarco, Ola Lundin, Henrik G. Smith, and Maj Rundlof",Riccardo Bommarco,KLEIJN 2015 DATABASE,1_5_RiccardoBommarco_RedClover,
40_PisantyMandelikWatermelon_2010,field_level_data_40_PisantyMandelikWatermelon_2010.csv,insect_sampling_40_PisantyMandelikWatermelon_2010.csv,"Gideon Pisanty, Yael Mandelik",Yael Mandelik,KLEIJN 2015 DATABASE,39_40_PisantyMandelikWatermelon_2009_2010,
42_MiaParkApple_2009,field_level_data_42_MiaParkApple_2009.csv,insect_sampling_42_MiaParkApple_2009.csv,Mia Park,Mia Park,KLEIJN 2015 DATABASE,42_44_MiaParkApple_2009_2010_2011,
43_MiaParkApple_2010,field_level_data_43_MiaParkApple_2010.csv,insect_sampling_43_MiaParkApple_2010.csv,Mia Park,Mia Park,KLEIJN 2015 DATABASE,42_44_MiaParkApple_2009_2010_2011,
44_MiaParkApple_2011,field_level_data_44_MiaParkApple_2011.csv,insect_sampling_44_MiaParkApple_2011.csv,Mia Park,Mia Park,KLEIJN 2015 DATABASE,42_44_MiaParkApple_2009_2010_2011,
