study_id,site_id,sampling_method,pollinator,identified_to,guild,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,description,notes
Leah_Blechschmidt_Malus_domestica_Canada_2018,1,Count of visitors to crop flowers,Apis mellifera,species,honeybees,11,9,45,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2018,1,Count of visitors to crop flowers,All wild bees excluding honeybees and bumblebees,superfamily,other_wild_bees,3,9,45,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2018,1,Capture of visitors to crop flowers,Apis mellifera,species,honeybees,8,9,90,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2018,1,Capture of visitors to crop flowers,Augochlorella aurata,species,other_wild_bees,1,9,90,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2019,1,Count of visitors to crop flowers,Apis mellifera,species,honeybees,33,9,45,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2019,1,Count of visitors to crop flowers,All wild bumblebees,genus,bumblebees,1,9,45,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2019,1,Count of visitors to crop flowers,All wild bees excluding honeybees and bumblebees,superfamily,other_wild_bees,5,9,45,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2019,1,Count of visitors to crop flowers,All non-bee pollinators,order,syrphids,37,9,45,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,"non-bee pollinators category would be primarily syrphids, but would also include other flies."
Leah_Blechschmidt_Malus_domestica_Canada_2019,1,Capture of visitors to crop flowers,Andrena carlini,species,other_wild_bees,1,9,90,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2019,1,Capture of visitors to crop flowers,Andrena miranda,species,other_wild_bees,3,9,90,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2019,1,Capture of visitors to crop flowers,Apis mellifera,species,honeybees,12,9,90,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2018,2,Count of visitors to crop flowers,Apis mellifera,species,honeybees,9,9,45,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2018,2,Count of visitors to crop flowers,All wild bees excluding honeybees and bumblebees,superfamily,other_wild_bees,8,9,45,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2018,2,Capture of visitors to crop flowers,Apis mellifera,species,honeybees,6,9,90,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2019,2,Count of visitors to crop flowers,Apis mellifera,species,honeybees,23,9,45,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2019,2,Count of visitors to crop flowers,All wild bumblebees,genus,bumblebees,2,9,45,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2019,2,Count of visitors to crop flowers,All wild bees excluding honeybees and bumblebees,superfamily,other_wild_bees,4,9,45,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2019,2,Count of visitors to crop flowers,All non-bee pollinators,order,syrphids,17,9,45,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,"non-bee pollinators category would be primarily syrphids, but would also include other flies."
Leah_Blechschmidt_Malus_domestica_Canada_2019,2,Capture of visitors to crop flowers,Apis mellifera,species,honeybees,11,9,90,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2018,3,Count of visitors to crop flowers,Apis mellifera,species,honeybees,28,9,45,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2018,3,Count of visitors to crop flowers,All wild bees excluding honeybees and bumblebees,superfamily,other_wild_bees,7,9,45,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2018,3,Capture of visitors to crop flowers,Andrena miserabilis,species,other_wild_bees,1,9,90,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2018,3,Capture of visitors to crop flowers,Apis mellifera,species,honeybees,11,9,90,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2018,3,Capture of visitors to crop flowers,Bombus impatiens,species,bumblebees,1,9,90,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2018,3,Capture of visitors to crop flowers,Lasioglossum coriaceum,species,other_wild_bees,1,9,90,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2018,4,Count of visitors to crop flowers,Apis mellifera,species,honeybees,59,9,45,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
Leah_Blechschmidt_Malus_domestica_Canada_2018,4,Count of visitors to crop flowers,All wild bumblebees,genus,bumblebees,2,9,45,NA,Bee visitors to apple crop flowers at 9 sampling locations within field were observed and categorized to guild level for 5 minutes after 10 minutes of active capture. At each point a 1m x 1m square of the canopy was observed,NA
