study_id,site_id,sampling_method,pollinator,identified_to,guild,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,description,notes
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_1,"Insect net,  walking transects between tree rows",Andrena.carantonica,species,other_wild_bees,1,10625,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_1,"Insect net,  walking transects between tree rows",Andrena.vaga,species,other_wild_bees,1,10625,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_1,"Insect net,  walking transects between tree rows",Apis.mellifera,species,honeybees,42,10625,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_1,"Insect net,  walking transects between tree rows",Bombus.pratorum,species,bumblebees,2,10625,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_1,"Insect net,  walking transects between tree rows",Bombus,genus,bumblebees,1,10625,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_1,"Insect net,  walking transects between tree rows",Bombus.terrestris,species,bumblebees,4,10625,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_1,"Insect net,  walking transects between tree rows",Osmia.bicornis,species,other_wild_bees,1,10625,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_1,"Insect net,  walking transects between tree rows",Osmia.cornuta,species,other_wild_bees,5,10625,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_1,"Insect net,  walking transects between tree rows",Syrphidae,family,syrphids,5,10625,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_2,"Insect net,  walking transects between tree rows",Syrphidae,family,syrphids,6,6775,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_2,"Insect net,  walking transects between tree rows",Andrena.carantonica,species,other_wild_bees,1,6775,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_2,"Insect net,  walking transects between tree rows",Andrena.cineraria,species,other_wild_bees,1,6775,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_2,"Insect net,  walking transects between tree rows",Andrena.dorsata,species,other_wild_bees,1,6775,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_2,"Insect net,  walking transects between tree rows",Andrena.flavipes,species,other_wild_bees,1,6775,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_2,"Insect net,  walking transects between tree rows",Andrena.gravida,species,other_wild_bees,1,6775,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_2,"Insect net,  walking transects between tree rows",Andrena.haemorrhoa,species,other_wild_bees,1,6775,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_2,"Insect net,  walking transects between tree rows",Andrena.humilis,species,other_wild_bees,1,6775,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_2,"Insect net,  walking transects between tree rows",Apis.mellifera,species,honeybees,82,6775,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_2,"Insect net,  walking transects between tree rows",Bombus,genus,bumblebees,1,6775,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_2,"Insect net,  walking transects between tree rows",Bombus.terrestris,species,bumblebees,4,6775,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_3,"Insect net,  walking transects between tree rows",Syrphidae,family,syrphids,3,3725,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_3,"Insect net,  walking transects between tree rows",Andrena.carantonica,species,other_wild_bees,4,3725,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_3,"Insect net,  walking transects between tree rows",Andrena.dorsata,species,other_wild_bees,7,3725,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_3,"Insect net,  walking transects between tree rows",Andrena.flavipes,species,other_wild_bees,1,3725,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_3,"Insect net,  walking transects between tree rows",Andrena.fulva,species,other_wild_bees,2,3725,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_3,"Insect net,  walking transects between tree rows",Andrena.haemorrhoa,species,other_wild_bees,11,3725,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_3,"Insect net,  walking transects between tree rows",Apis.mellifera,species,honeybees,32,3725,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_3,"Insect net,  walking transects between tree rows",Bombus.hypnorum,species,bumblebees,2,3725,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_3,"Insect net,  walking transects between tree rows",Bombus.lapidarius,species,bumblebees,1,3725,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_3,"Insect net,  walking transects between tree rows",Bombus.pascuorum,species,bumblebees,1,3725,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_3,"Insect net,  walking transects between tree rows",Bombus.pratorum,species,bumblebees,1,3725,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_3,"Insect net,  walking transects between tree rows",Bombus.terrestris,species,bumblebees,6,3725,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_3,"Insect net,  walking transects between tree rows",Omia.cornuta,species,other_wild_bees,3,3725,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_4,"Insect net,  walking transects between tree rows",Syrphidae,family,syrphids,2,4300,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_4,"Insect net,  walking transects between tree rows",Andrena.chrysosceles,species,other_wild_bees,1,4300,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_4,"Insect net,  walking transects between tree rows",Andrena.cineraria,species,other_wild_bees,1,4300,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_4,"Insect net,  walking transects between tree rows",Andrena.flavipes,species,other_wild_bees,2,4300,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_4,"Insect net,  walking transects between tree rows",Andrena.fulva,species,other_wild_bees,1,4300,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_4,"Insect net,  walking transects between tree rows",Andrena.haemorrhoa,species,other_wild_bees,3,4300,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_4,"Insect net,  walking transects between tree rows",Apis.mellifera,species,honeybees,64,4300,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_4,"Insect net,  walking transects between tree rows",Bombus.pascuorum,species,bumblebees,1,4300,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_4,"Insect net,  walking transects between tree rows",Bombus.terrestris,species,bumblebees,19,4300,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_4,"Insect net,  walking transects between tree rows",Sphecodes.monilicornis,species,other_wild_bees,1,4300,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_5,"Insect net,  walking transects between tree rows",Syrphidae,family,syrphids,5,7300,120,NA,"2 people, each 1 time 60 minutes per transect during full bloom of sweet cherry trees",NA
