study_id,study_id2,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,taxa_recorded,use_visits_or_abundance,sampling_richness,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,richness_restriction,sampling_abundance,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,sampling_visitation,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact,notes
Eeraerts_etal_Vaccinium_corymbosum_USA_2021,Eeraerts_etal_Vaccinium_corymbosum_USA,Harb,Vaccinium corymbosum,Duke,conventional,USA,48.4091176641338,-122.386920679732,NA,NA,NA,4,5,2021,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bees,use abundance,sweep net,NA,NA,NA,only bees,sweep net,46,44,2,0,0,0,0,0,0,0,0,1200,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://link.springer.com/article/10.1007/s10980-022-01562-1,see ownership,"maxime.eeraerts@gmail.com, lisa.devetter@wsu.edu",NA
Eeraerts_etal_Vaccinium_corymbosum_USA_2021,Eeraerts_etal_Vaccinium_corymbosum_USA,Chuckanut,Vaccinium corymbosum,Duke,conventional,USA,48.5020345554324,-122.361423287293,NA,NA,NA,4,5,2021,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bees,use abundance,sweep net,NA,NA,NA,only bees,sweep net,97,96,1,0,0,0,0,0,0,0,0,1200,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://link.springer.com/article/10.1007/s10980-022-01562-1,see ownership,"maxime.eeraerts@gmail.com, lisa.devetter@wsu.edu",NA
Eeraerts_etal_Vaccinium_corymbosum_USA_2021,Eeraerts_etal_Vaccinium_corymbosum_USA,Manny,Vaccinium corymbosum,Duke,conventional,USA,48.3662431630371,-122.315101046124,NA,NA,NA,4,5,2021,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bees,use abundance,sweep net,NA,NA,NA,only bees,sweep net,70,56,13,1,0,0,0,0,0,0,0,1200,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://link.springer.com/article/10.1007/s10980-022-01562-1,see ownership,"maxime.eeraerts@gmail.com, lisa.devetter@wsu.edu",NA
Eeraerts_etal_Vaccinium_corymbosum_USA_2021,Eeraerts_etal_Vaccinium_corymbosum_USA,MP.Woodland,Vaccinium corymbosum,Duke,conventional,USA,48.9290783359762,-122.582831407149,NA,NA,NA,4,5,2021,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bees,use abundance,sweep net,NA,NA,NA,only bees,sweep net,84,84,0,0,0,0,0,0,0,0,0,1200,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://link.springer.com/article/10.1007/s10980-022-01562-1,see ownership,"maxime.eeraerts@gmail.com, lisa.devetter@wsu.edu",NA
Eeraerts_etal_Vaccinium_corymbosum_USA_2021,Eeraerts_etal_Vaccinium_corymbosum_USA,MP.Sunrise,Vaccinium corymbosum,Duke,conventional,USA,48.9486266818154,-122.594714051093,NA,NA,NA,4,5,2021,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bees,use abundance,sweep net,NA,NA,NA,only bees,sweep net,79,77,1,1,0,0,0,0,0,0,0,1200,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://link.springer.com/article/10.1007/s10980-022-01562-1,see ownership,"maxime.eeraerts@gmail.com, lisa.devetter@wsu.edu",NA
Eeraerts_etal_Vaccinium_corymbosum_USA_2021,Eeraerts_etal_Vaccinium_corymbosum_USA,MP.Axling,Vaccinium corymbosum,Duke,conventional,USA,48.8878027720154,-122.427570677962,NA,NA,NA,4,5,2021,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bees,use abundance,sweep net,NA,NA,NA,only bees,sweep net,56,55,1,0,0,0,0,0,0,0,0,1200,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://link.springer.com/article/10.1007/s10980-022-01562-1,see ownership,"maxime.eeraerts@gmail.com, lisa.devetter@wsu.edu",NA
Eeraerts_etal_Vaccinium_corymbosum_USA_2021,Eeraerts_etal_Vaccinium_corymbosum_USA,PTM.Glendale,Vaccinium corymbosum,Duke,conventional,USA,48.9638318065792,-122.548710130661,NA,NA,NA,4,5,2021,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bees,use abundance,sweep net,NA,NA,NA,only bees,sweep net,61,60,1,0,0,0,0,0,0,0,0,1200,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://link.springer.com/article/10.1007/s10980-022-01562-1,see ownership,"maxime.eeraerts@gmail.com, lisa.devetter@wsu.edu",NA
Eeraerts_etal_Vaccinium_corymbosum_USA_2021,Eeraerts_etal_Vaccinium_corymbosum_USA,MP.Schilke,Vaccinium corymbosum,Duke,conventional,USA,48.9766088739431,-122.508706884534,NA,NA,NA,4,5,2021,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bees,use abundance,sweep net,NA,NA,NA,only bees,sweep net,84,84,0,0,0,0,0,0,0,0,0,1200,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://link.springer.com/article/10.1007/s10980-022-01562-1,see ownership,"maxime.eeraerts@gmail.com, lisa.devetter@wsu.edu",NA
Eeraerts_etal_Vaccinium_corymbosum_USA_2021,Eeraerts_etal_Vaccinium_corymbosum_USA,MP.TenMile,Vaccinium corymbosum,Duke,conventional,USA,48.8709189515136,-122.422769153955,NA,NA,NA,4,5,2021,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bees,use abundance,sweep net,NA,NA,NA,only bees,sweep net,65,58,6,1,0,0,0,0,0,0,0,1200,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://link.springer.com/article/10.1007/s10980-022-01562-1,see ownership,"maxime.eeraerts@gmail.com, lisa.devetter@wsu.edu",NA
Eeraerts_etal_Vaccinium_corymbosum_USA_2021,Eeraerts_etal_Vaccinium_corymbosum_USA,Harman,Vaccinium corymbosum,Duke,conventional,USA,48.9119708176253,-122.366536786304,NA,NA,NA,4,5,2021,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bees,use abundance,sweep net,NA,NA,NA,only bees,sweep net,77,75,2,0,0,0,0,0,0,0,0,1200,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://link.springer.com/article/10.1007/s10980-022-01562-1,see ownership,"maxime.eeraerts@gmail.com, lisa.devetter@wsu.edu",NA
