Organism_ID,Family,Guild
(Dialictus) sp. D,Halictidae,NA
“Lagria” cf. aeneipennis Fåhraeus,Tenebrionidae,NA
0,NA,NA
A. mellifera,Apidae,NA
A_mellifera,Apidae,NA
Abax.parallelepipedus,NA,NA
Abeja abdomen naranja,Andrenidae,NA
Abeja brillante sin pelos rayas en abdomen,Halictidae,NA
Abeja marron cola negra,NA,NA
Abeja negra,NA,NA
Adalia_bipunctata,NA,NA
Agapostemon,Halictidae,NA
Agapostemon sericeus,Halictidae,NA
Agapostemon sp,Halictidae,NA
Agapostemon splendens,Halictidae,NA
Agapostemon texana,Halictidae,NA
Agapostemon texanus,Halictidae,NA
Agapostemon virescens,Halictidae,NA
Aglais_urticae,Nymphalidae,NA
Agonum.muelleri,NA,NA
Agonum.sexpunctatum,NA,NA
Agromyzidae_sp1,Agromyzidae,NA
Agromyzidae_sp1,NA,NA
Alleculinae_sp1,NA,NA
ALLECULINAE_sp1,Tenebrionidae,NA
Allobacha sp.,Syrphidae,NA
Allograpta exotica,Syrphidae,NA
Allograpta exotica cf.,Sirfidae,NA
Allograpta iavana,Syrphidae,NA
Allograpta sp.,Syrphidae,NA
Allograpta sp1,Syrphidae,NA
Allograpta sp2,Syrphidae,NA
Allograpta sp3,Syrphidae,NA
Allograpta_calopus_talvez,NA,NA
Amara.aenea,NA,NA
Amara.convexior,NA,NA
Amara.familiaris,NA,NA
Amara.montivaga,NA,NA
Amara.ovata,NA,NA
Amara.plebeja,NA,NA
Amara.similata,NA,NA
Amata cerbera L.,Arctiidae,NA
Amegilla caelestina,NA,NA
Amegilla cymatilis,NA,NA
Amegilla quadrifasciata,Apidae,NA
Amegilla sp 1.,NA,NA
Amegilla sp 2.,NA,NA
Amegilla sp. 1,NA,NA
Amegilla sp. 2,NA,NA
Amegilla zonata/ A. confusa,Apidae,NA
Amegilla_zonata,NA,NA
Amobia oculata,Sarcophagidae,NA
Amobia sp,Sarcophagidae,NA
Amobia_sp,NA,NA
Anasimyia_lineata,NA,NA
Anchmenus.dorsalis,NA,NA
Ancistrocerus oviventris,NA,NA
