study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
mall02,mall01_AB,malus domestica,NA,conventional,USA,NA,NA,287066.7791,4768463.396,NA,NA,NA,2013,13.3546,17.29480828318389,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,2.609848484848485,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,52.321,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
mall02,mall01_AH,malus domestica,NA,conventional,USA,NA,NA,421258.5996,4725173.018,NA,NA,NA,2013,20.2343,9.724746373966719,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10.25,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
mall02,mall01_BR,malus domestica,NA,conventional,USA,NA,NA,404741.7883,4721937.599,NA,NA,NA,2013,6.0702,16.60146961570491,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,16.286,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
mall02,mall01_CF,malus domestica,NA,organic,USA,NA,NA,258685.6798,4747612.789,NA,NA,NA,2013,4.0468,15.956745085507936,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,2.516594516594517,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,52.558,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
mall02,mall01_CO,malus domestica,NA,organic,USA,NA,NA,303741,4798085,NA,NA,NA,2013,0.2023,12.1983908061531,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,0.6232193732193732,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,44.086,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
mall02,mall01_DC,malus domestica,NA,conventional,USA,NA,NA,318795.7151,4765992.266,NA,NA,NA,2013,4.0468,13.845044238056486,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,1.4197530864197532,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7.812,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
mall02,mall01_EL,malus domestica,NA,conventional,USA,NA,NA,399248.6694,4733233.156,NA,NA,NA,2013,6.8796,5.581076658373694,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,27.486,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
mall02,mall01_GG,malus domestica,NA,organic,USA,NA,NA,310110.9436,4761560.113,NA,NA,NA,2013,0.607,10.700917740993997,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,2.245002939447384,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8.062,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
mall02,mall01_HO,malus domestica,NA,organic,USA,NA,NA,625345.0166,4858617.466,NA,NA,NA,2013,12.1406,10.69807809250736,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,0.23809523809523808,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,14.467,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
mall02,mall01_HR,malus domestica,NA,conventional,USA,NA,NA,390826.2194,4713035.074,NA,NA,NA,2013,2.4281,7.496817838124416,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,14.429,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
mall02,mall01_J,malus domestica,NA,conventional,USA,NA,NA,320607.163,4779058.102,NA,NA,NA,2013,1.0117,7.6753307305756895,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,0.5658436213991769,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,19.719,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
mall02,mall01_KA,malus domestica,NA,conventional,USA,NA,NA,333766.3145,4764722.866,NA,NA,NA,2013,4.0468,9.35591878368694,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,0.43981481481481477,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6.929,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
mall02,mall01_KI,malus domestica,NA,conventional,USA,NA,NA,678361.3086,4799702.061,NA,NA,NA,2013,52.6091,11.760065694261984,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,0.6547619047619047,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,22.035,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
mall02,mall01_KLE,malus domestica,NA,organic,USA,NA,NA,420149.4268,4742622.087,NA,NA,NA,2013,1.214,10.992512853457605,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,2.6666666666666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6.929,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
mall02,mall01_MH,malus domestica,NA,organic,USA,NA,NA,732220,4814790,NA,NA,NA,2013,1.6187,9.874117187160666,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,1.6666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,12.789,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
mall02,mall01_MR,malus domestica,NA,conventional,USA,NA,NA,672150,4851885,NA,NA,NA,2013,2.0234,17.703608113170326,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7.646,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
mall02,mall01_PB,malus domestica,NA,organic,USA,NA,NA,393558.2621,4783080.838,NA,NA,NA,2013,1.6187,11.23177889890668,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,0.27777777777777773,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,16.733,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
mall02,mall01_QU,malus domestica,NA,organic,USA,NA,NA,373019.0033,4731555.108,NA,NA,NA,2013,2.8328,13.085730317863245,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,25,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
mall02,mall01_SB,malus domestica,NA,conventional,USA,NA,NA,648423,4869094,NA,NA,NA,2013,10.1171,14.60261885687983,percentage fruit set (100 number of fruits/number of open flowers),NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,11.32,Chao1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1111/1365-2664.12377,"Rachel Mallinger, USDA-ARS",rachel.mallinger@ars.usda.gov
