study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,pollinator_richness,richness_estimator_method,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
grab013,BTPT,Fragaria x ananassa,NA,organic,USA,42.61134751871361,-76.30609247164412,392873.256299999,4718483.7948,18N,NA,NA,2015,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,see yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",USDA NASS,hlc66@cornell.edu
grab013,BTH,Fragaria x ananassa,NA,organic,USA,42.60997537232833,-76.30346319112861,393086.567999999,4718328.1018,18N,NA,NA,2015,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,see yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",USDA NASS,hlc66@cornell.edu
grab013,CRTCEM,Fragaria x ananassa,NA,organic,USA,42.87795411180331,-77.01165704264595,335706.441499999,4749224.87989999,18N,NA,NA,2015,0.005,4.43,grams (average fruit weight),90,pollination rate (% seed set per fruit) ,NA,2.2025,NA,55,NA,see yield,NA,NA,NA,NA,27.36,Chao1,89,0,0,89,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",USDA NASS,hlc66@cornell.edu
grab013,CRTSB,Fragaria x ananassa,NA,organic,USA,42.87997543768019,-77.01299240119215,335602.746899999,4749451.9579,18N,NA,NA,2015,0.005,4.7075,grams (average fruit weight),93.75,pollination rate (% seed set per fruit) ,NA,1.8675,NA,57.5,NA,see yield,NA,NA,NA,NA,20.955,Chao1,134,0,0,134,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",USDA NASS,hlc66@cornell.edu
grab013,CRTGRA,Fragaria x ananassa,NA,organic,USA,42.880853483901475,-77.01883900985767,335127.589499999,4749560.90279999,18N,NA,NA,2015,0.005,4.125,grams (average fruit weight),92.5,pollination rate (% seed set per fruit) ,NA,NA,NA,NA,NA,see yield,NA,NA,NA,NA,15.649,Chao1,147,0,1,146,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",USDA NASS,hlc66@cornell.edu
grab013,CRTPMP,Fragaria x ananassa,NA,organic,USA,42.879319044132394,-77.01536571895811,335407.171099999,4749383.70319999,18N,NA,NA,2015,0.005,0.905,grams (average fruit weight),95,pollination rate (% seed set per fruit) ,NA,1.28,NA,55,NA,see yield,NA,NA,NA,NA,26.58,Chao1,176,0,0,176,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",USDA NASS,hlc66@cornell.edu
grab013,DARWEB,Fragaria x ananassa,NA,organic,USA,42.878824384030395,-77.0536488686622,332279.185399999,4749404.34919999,18N,NA,NA,2015,0.005,7.907,grams (average fruit weight),90.5,pollination rate (% seed set per fruit) ,NA,8.266666667,NA,92.333333333,NA,see yield,NA,NA,NA,NA,44.816,Chao1,136,0,0,136,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",USDA NASS,hlc66@cornell.edu
grab013,DARPD,Fragaria x ananassa,NA,organic,USA,42.875386769414334,-77.05118111561431,332471.429299999,4749017.6829,18N,NA,NA,2015,0.005,4.607272727,grams (average fruit weight),87.72727273,pollination rate (% seed set per fruit) ,NA,3.1875,NA,92.5,NA,see yield,NA,NA,NA,NA,22.932,Chao1,118,0,0,118,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",USDA NASS,hlc66@cornell.edu
grab013,EIWT,Fragaria x ananassa,NA,organic,USA,42.44080824696399,-76.47020545034874,379083.821,4699767.56189999,18N,NA,NA,2015,0.005,7.559090909,grams (average fruit weight),94.318181818,pollination rate (% seed set per fruit) ,NA,8.575,NA,92.045454545,NA,see yield,NA,NA,NA,NA,54.038,Chao1,143,9,0,134,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",USDA NASS,hlc66@cornell.edu
grab013,EIT,Fragaria x ananassa,NA,organic,USA,42.441962839867976,-76.47210568763442,378929.757399999,4699898.47739999,18N,NA,NA,2015,0.005,9.139545455,grams (average fruit weight),88.63636364,pollination rate (% seed set per fruit) ,NA,8.936956522,NA,95.652173913,NA,see yield,NA,NA,NA,NA,32.57,Chao1,110,31,0,79,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",USDA NASS,hlc66@cornell.edu
grab013,ELDALF,Fragaria x ananassa,NA,organic,USA,42.97290625044393,-76.49321821757256,378235.781999999,4758887.7828,18N,NA,NA,2015,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,see yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",USDA NASS,hlc66@cornell.edu
grab013,ELDFL,Fragaria x ananassa,NA,organic,USA,42.97194947339094,-76.4944731627495,378131.556499999,4758783.35139999,18N,NA,NA,2015,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,see yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",USDA NASS,hlc66@cornell.edu
grab013,FVCN,Fragaria x ananassa,NA,organic,USA,42.52262704200706,-76.33426364294311,390407.3792,4708668.10459999,18N,NA,NA,2015,0.005,3.638888889,grams (average fruit weight),96.666666667,pollination rate (% seed set per fruit) ,NA,3.213333333,NA,96.666666667,NA,see yield,NA,NA,NA,NA,4,Chao1,21,0,0,21,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",USDA NASS,hlc66@cornell.edu
grab013,FVCS,Fragaria x ananassa,NA,organic,USA,42.52004525751886,-76.3324117454169,390554.9845,4708379.0261,18N,NA,NA,2015,0.005,3.855384615,grams (average fruit weight),96.923076923,pollination rate (% seed set per fruit) ,NA,3.964444444,NA,97.777777778,NA,see yield,NA,NA,NA,NA,23.228,Chao1,46,0,0,46,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",USDA NASS,hlc66@cornell.edu
grab013,FVO9,Fragaria x ananassa,NA,organic,USA,42.52268864255356,-76.32623963546399,391066.565799999,4708664.6006,18N,NA,NA,2015,0.005,7.247826087,grams (average fruit weight),95.434782609,pollination rate (% seed set per fruit) ,NA,6.28375,NA,96.875,NA,see yield,NA,NA,NA,NA,22.281,Chao1,57,0,0,57,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",USDA NASS,hlc66@cornell.edu
grab013,FVO3,Fragaria x ananassa,NA,organic,USA,42.52300927033728,-76.32920593567528,390823.477099999,4708704.0204,18N,NA,NA,2015,0.005,8.297647059,grams (average fruit weight),96.764705882,pollination rate (% seed set per fruit) ,NA,4.483,NA,97,NA,see yield,NA,NA,NA,NA,21.941,Chao1,102,0,0,102,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",USDA NASS,hlc66@cornell.edu
grab013,GSUP,Fragaria x ananassa,NA,organic,USA,43.166976736543866,-77.33804062594862,309943.5526,4782011.2016,18N,NA,NA,2015,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,see yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",USDA NASS,hlc66@cornell.edu
grab013,GSTR,Fragaria x ananassa,NA,organic,USA,43.1683623943365,-77.3369295283809,310038.1721,4782162.56709999,18N,NA,NA,2015,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,see yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",USDA NASS,hlc66@cornell.edu
