study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
ande02,4.01,Fragaria × ananassa,NA,conventional,Sweden,55.851232,13.361977,NA,NA,NA,NA,NA,2009,NA,11.1111111111111,Percentage of fully pollinated fruits per pot,102,Total number of fruits per site,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,36.611,Chao1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
ande02,4.1,Fragaria × ananassa,NA,organic,Sweden,55.506072,13.86448,NA,NA,NA,NA,NA,2009,NA,35.4838709677419,Percentage of fully pollinated fruits per pot,311,Total number of fruits per site,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,20.466,Chao1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
ande02,4.2,Fragaria × ananassa,NA,organic,Sweden,55.738088,13.706308,NA,NA,NA,NA,NA,2009,NA,50,Percentage of fully pollinated fruits per pot,158,Total number of fruits per site,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,72.319,Chao1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
ande02,4.3,Fragaria × ananassa,NA,organic,Sweden,55.562438,13.362367,NA,NA,NA,NA,NA,2009,NA,80,Percentage of fully pollinated fruits per pot,119,Total number of fruits per site,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,25.326,Chao1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
ande02,4.4,Fragaria × ananassa,NA,organic,Sweden,55.835012999999996,13.518487,NA,NA,NA,NA,NA,2009,NA,7.69230769230769,Percentage of fully pollinated fruits per pot,63,Total number of fruits per site,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,14.833,Chao1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
ande02,5.01,Fragaria × ananassa,NA,conventional,Sweden,55.376422,13.316683,NA,NA,NA,NA,NA,2009,NA,23.8095238095238,Percentage of fully pollinated fruits per pot,153,Total number of fruits per site,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9.122,Chao1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
ande02,5.02,Fragaria × ananassa,NA,conventional,Sweden,55.499083,13.552,NA,NA,NA,NA,NA,2009,NA,15,Percentage of fully pollinated fruits per pot,150,Total number of fruits per site,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,24.859,Chao1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
ande02,5.1,Fragaria × ananassa,NA,organic,Sweden,55.426812,13.424667,NA,NA,NA,NA,NA,2009,NA,33.3333333333333,Percentage of fully pollinated fruits per pot,38,Total number of fruits per site,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,29.679,Chao1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
ande02,5.2,Fragaria × ananassa,NA,organic,Sweden,55.88873,13.318122,NA,NA,NA,NA,NA,2009,NA,40,Percentage of fully pollinated fruits per pot,19,Total number of fruits per site,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,21.637,Chao1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
ande02,5.3,Fragaria × ananassa,NA,organic,Sweden,55.63207,13.312453,NA,NA,NA,NA,NA,2009,NA,42.105263157894704,Percentage of fully pollinated fruits per pot,115,Total number of fruits per site,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,35.52,Chao1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georg Andersson (Lund University), Project MULTIFUNC",gandersson@unrn.edu.ar
