study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,observed_pollinator_richness,other_pollinator_richness,other_richness_estimator_method,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
Groo03,B16,Vaccinium corymbosum,NA,conventional,Netherlands,51.2088514,6.0587518,NA,NA,NA,NA,NA,2013,2.5,19000,kg/hectare,97.57340210429456,Fruit set (% of flowers producing a berry),NA,NA,47.394179894179885,100,NA,NA,NA,NA,NA,NA,11,20.972,Chao1,356,183,170,1,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"De Groot et al. 2015, Alterra report 2636 (Dutch)","G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
Groo03,B17,Vaccinium corymbosum,NA,conventional,Netherlands,51.4920974,6.1489818,NA,NA,NA,NA,NA,2013,8,100000,kg/hectare,95.6728778467909,Fruit set (% of flowers producing a berry),NA,NA,74.62330342765125,94.63340891912321,NA,NA,NA,NA,NA,NA,14,18.158,Chao1,460,387,60,4,9,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"De Groot et al. 2015, Alterra report 2636 (Dutch)","G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
Groo03,B18,Vaccinium corymbosum,NA,conventional,Netherlands,51.2315975,5.9440147,NA,NA,NA,NA,NA,2013,7,70000,kg/hectare,90.35599263860134,Fruit set (% of flowers producing a berry),NA,NA,70.94176757220235,100,NA,NA,NA,NA,NA,NA,10,14.484,Chao1,285,156,124,2,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"De Groot et al. 2015, Alterra report 2636 (Dutch)","G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
Groo03,B19,Vaccinium corymbosum,NA,conventional,Netherlands,52.7476279999999,6.55037129999999,NA,NA,NA,NA,NA,2013,1.66,13286,kg/hectare,71.79998745216136,Fruit set (% of flowers producing a berry),NA,NA,53.047504025764894,100,NA,NA,NA,NA,NA,NA,10,12.99,Chao1,286,86,197,2,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"De Groot et al. 2015, Alterra report 2636 (Dutch)","G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
Groo03,B20,Vaccinium corymbosum,NA,conventional,Netherlands,51.2889976,5.9757352,NA,NA,NA,NA,NA,2013,4,17000,kg/hectare,87.99309229864785,Fruit set (% of flowers producing a berry),NA,NA,76.74315619967794,93.75,NA,NA,NA,NA,NA,NA,11,20.95,Chao1,202,81,116,1,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"De Groot et al. 2015, Alterra report 2636 (Dutch)","G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
Groo03,B21,Vaccinium corymbosum,NA,conventional,Netherlands,51.4422332,5.9461707,NA,NA,NA,NA,NA,2013,3,11470,kg/hectare,87.2244703766443,Fruit set (% of flowers producing a berry),NA,NA,50.50667126754084,100,NA,NA,NA,NA,NA,NA,9,13.485,Chao1,294,173,118,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"De Groot et al. 2015, Alterra report 2636 (Dutch)","G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
Groo03,B22,Vaccinium corymbosum,NA,conventional,Netherlands,51.2832048,5.9046948,NA,NA,NA,NA,NA,2013,1.21,1269,kg/hectare,83.77043013770702,Fruit set (% of flowers producing a berry),NA,NA,61.78743961352657,81.4474678760393,NA,NA,NA,NA,NA,NA,7,7,Chao1,205,12,191,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"De Groot et al. 2015, Alterra report 2636 (Dutch)","G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
Groo03,B23,Vaccinium corymbosum,NA,conventional,Netherlands,51.3121815,5.831574,NA,NA,NA,NA,NA,2013,NA,NA,kg/hectare,90.57820048309179,Fruit set (% of flowers producing a berry),NA,NA,66.72030867683041,100,NA,NA,NA,NA,NA,NA,7,7,Chao1,317,8,309,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"De Groot et al. 2015, Alterra report 2636 (Dutch)","G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
Groo03,B24,Vaccinium corymbosum,NA,conventional,Netherlands,51.4352356,6.0898714,NA,NA,NA,NA,NA,2013,2,10000,kg/hectare,93.93274097078445,Fruit set (% of flowers producing a berry),NA,NA,82.13639473078834,71.9510582010582,NA,NA,NA,NA,NA,NA,8,17.968,Chao1,311,213,95,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"De Groot et al. 2015, Alterra report 2636 (Dutch)","G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
Groo03,B25,Vaccinium corymbosum,NA,conventional,Netherlands,51.4701715,6.0979813,NA,NA,NA,NA,NA,2013,2.6,36400,kg/hectare,90.24711399711401,Fruit set (% of flowers producing a berry),NA,NA,50.85664181497515,87.30599647266314,NA,NA,NA,NA,NA,NA,8,9.496,Chao1,398,280,117,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"De Groot et al. 2015, Alterra report 2636 (Dutch)","G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
Groo03,B26,Vaccinium corymbosum,NA,conventional,Netherlands,52.4294047,6.67178029999999,NA,NA,NA,NA,NA,2013,0.25,1200,kg/hectare,93.20163331032897,Fruit set (% of flowers producing a berry),NA,NA,82.98039923039924,100,NA,NA,NA,NA,NA,NA,9,11.995,Chao1,648,548,98,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"De Groot et al. 2015, Alterra report 2636 (Dutch)","G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
Groo03,B27,Vaccinium corymbosum,NA,conventional,Netherlands,51.4755862,6.0900194,NA,NA,NA,NA,NA,2013,6,58500,kg/hectare,82.09245665767403,Fruit set (% of flowers producing a berry),NA,NA,73.03907365415301,93.83597883597884,NA,NA,NA,NA,NA,NA,9,12.979,Chao1,193,98,92,2,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"De Groot et al. 2015, Alterra report 2636 (Dutch)","G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",g.a.degroot@wur.nl
