study_id,site_id,crop,variety,management,country,latitude,longitude,X_UTM,Y_UTM,zone_UTM,sampling_start_month,sampling_end_month,sampling_year,field_size,yield,yield_units,yield2,yield2_units,yield_treatments_no_pollinators,yield_treatments_pollen_supplement,yield_treatments_no_pollinators2,yield_treatments_pollen_supplement2,fruits_per_plant,fruit_weight,plant_density,seeds_per_fruit,seeds_per_plant,seed_weight,pollinator_richness,richness_estimator_method,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time,visitation_rate_units,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others,Publication,Credit,Email_contact
FREI01,CA1,Anacardium occidentale,NA,conventional,Brazil,NA,NA,567911.6,9546374.9,NA,NA,NA,2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.25,Chao1,50,29,0,9,1,0,0,0,0,9,2,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.aac7287,NA,freitas@ufc.br
FREI01,CA2,Anacardium occidentale,NA,conventional,Brazil,NA,NA,567805.4,9545647.9,NA,NA,NA,2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.923,Chao1,39,30,0,1,0,0,1,0,0,7,0,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.aac7287,NA,freitas@ufc.br
FREI01,CA3,Anacardium occidentale,NA,conventional,Brazil,NA,NA,567713.3,9545262.2,NA,NA,NA,2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.121,Chao1,31,16,0,7,0,0,0,0,0,8,0,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.aac7287,NA,freitas@ufc.br
FREI01,CA4,Anacardium occidentale,NA,conventional,Brazil,NA,NA,565182.7,9547820.3,NA,NA,NA,2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,Chao1,40,26,0,5,0,0,0,0,0,9,0,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.aac7287,NA,freitas@ufc.br
FREI01,CA5,Anacardium occidentale,NA,conventional,Brazil,NA,NA,565194.8,9547142.1,NA,NA,NA,2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.935,Chao1,31,27,0,1,0,0,0,0,0,3,0,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.aac7287,NA,freitas@ufc.br
FREI01,CA6,Anacardium occidentale,NA,conventional,Brazil,NA,NA,567509.1,9546689.3,NA,NA,NA,2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.595,Chao1,37,22,0,10,0,0,0,0,1,3,1,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.aac7287,NA,freitas@ufc.br
FREI01,CA7,Anacardium occidentale,NA,conventional,Brazil,NA,NA,567422.4,9545482.1,NA,NA,NA,2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.95,Chao1,40,24,0,7,0,0,0,0,0,7,2,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.aac7287,NA,freitas@ufc.br
FREI01,CA8,Anacardium occidentale,NA,conventional,Brazil,NA,NA,564932.3,9547281.1,NA,NA,NA,2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.485,Chao1,34,18,0,7,0,0,0,0,0,9,0,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.aac7287,NA,freitas@ufc.br
FREI01,CA9,Anacardium occidentale,NA,conventional,Brazil,NA,NA,563216.3,9546731.1,NA,NA,NA,2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.983,Chao1,59,30,0,19,0,0,0,0,0,10,0,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.aac7287,NA,freitas@ufc.br
FREI01,CA10,Anacardium occidentale,NA,conventional,Brazil,NA,NA,563027.9,9546403.4,NA,NA,NA,2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.195,Chao1,41,31,0,3,0,0,0,0,1,6,0,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1126/science.aac7287,NA,freitas@ufc.br
