study_id,pollinator,guild,percentage,sampling_method,crop,variety,country
ande01,Andrena semilaevis,other_wild_bees,8.51063829787234,Sweepnets,Brassica rapa,NA,Sweden
ande01,Andrena semilaevis,other_wild_bees,8.51063829787234,Sweepnets,Brassica rapa,NA,Sweden
ande01,Andrena semilaevis,other_wild_bees,8.51063829787234,Sweepnets,Brassica rapa,NA,Sweden
ande01,Andrena semilaevis,other_wild_bees,8.51063829787234,Sweepnets,Brassica rapa,NA,Sweden
ande01,Andrena semilaevis,other_wild_bees,8.51063829787234,Sweepnets,Brassica rapa,NA,Sweden
ande01,Andrena semilaevis,other_wild_bees,8.51063829787234,Sweepnets,Brassica rapa,NA,Sweden
ande01,Andrena semilaevis,other_wild_bees,8.51063829787234,Sweepnets,Brassica rapa,NA,Sweden
ande01,Andrena semilaevis,other_wild_bees,8.51063829787234,Sweepnets,Brassica rapa,NA,Sweden
ande01,Andrena semilaevis,other_wild_bees,8.51063829787234,Sweepnets,Brassica rapa,NA,Sweden
ande01,Andrena semilaevis,other_wild_bees,8.51063829787234,Sweepnets,Brassica rapa,NA,Sweden
ande01,Andrena semilaevis,other_wild_bees,8.51063829787234,Sweepnets,Brassica rapa,NA,Sweden
ande01,Apis mellifera,honeybees,100,Sweepnets,Brassica rapa,NA,Sweden
ande01,Apis mellifera,honeybees,100,Sweepnets,Brassica rapa,NA,Sweden
ande01,Apis mellifera,honeybees,100,Sweepnets,Brassica rapa,NA,Sweden
ande01,Apis mellifera,honeybees,100,Sweepnets,Brassica rapa,NA,Sweden
ande01,Apis mellifera,honeybees,100,Sweepnets,Brassica rapa,NA,Sweden
ande01,Apis mellifera,honeybees,100,Sweepnets,Brassica rapa,NA,Sweden
ande01,Apis mellifera,honeybees,100,Sweepnets,Brassica rapa,NA,Sweden
ande01,Apis mellifera,honeybees,100,Sweepnets,Brassica rapa,NA,Sweden
ande01,Apis mellifera,honeybees,100,Sweepnets,Brassica rapa,NA,Sweden
ande01,Apis mellifera,honeybees,100,Sweepnets,Brassica rapa,NA,Sweden
